Ingredient	Strength
CEPHALEXIN	EQ 100MG BASE/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons*
CEPHALEXIN	EQ 125MG BASE/5ML 
CEPHALEXIN	EQ 250MG BASE/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons*
AMOXICILLIN	125MG/5ML
AMOXICILLIN	250MG/5ML
AMOXICILLIN	50MG/ML 
LINEZOLID	100MG/5ML
LORACARBEF	100MG/5ML
LORACARBEF	200MG/5ML
FOSFOMYCIN TROMETHAMINE	EQ 3GM BASE/PACKET
OMEPRAZOLE; SODIUM BICARBONATE	20MG/PACKET;1.68GM/PACKET
OMEPRAZOLE; SODIUM BICARBONATE	40MG/PACKET;1.68GM/PACKET
OMEPRAZOLE; SODIUM BICARBONATE	20MG/PACKET;1.68GM/PACKET
OMEPRAZOLE; SODIUM BICARBONATE	40MG/PACKET;1.68GM/PACKET
CEFDINIR	125MG/5ML 
CEFDINIR	250MG/5ML 
AMPICILLIN/AMPICILLIN TRIHYDRATE	100MG/ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	125MG/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	250MG/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	500MG/5ML
DICLOXACILLIN SODIUM	EQ 62.5MG BASE/5ML
POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS	236GM/BOT;2.97GM/BOT;6.74GM/BOT;5.86GM/BOT;22.74GM/BOT
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 100MG BASE/ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
FAMOTIDINE	40MG/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 100MG BASE/ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 500MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE; PROBENECID	EQ 3.5GM BASE/BOT;1GM/BOT
AMPICILLIN/AMPICILLIN TRIHYDRATE; PROBENECID	EQ 3.5GM BASE/BOT;1GM/BOT
AMOXICILLIN	125MG/5ML
AMOXICILLIN	125MG/5ML
AMOXICILLIN	250MG/5ML
AMOXICILLIN	250MG/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 100MG BASE/ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE; PROBENECID	EQ 3.5GM BASE/BOT;1GM/BOT
ELTROMBOPAG OLAMINE	EQ 25MG ACID/PACKET
SEVELAMER CARBONATE	2.4GM/PACKET
SEVELAMER CARBONATE	800MG/PACKET
SILDENAFIL CITRATE	EQ 10MG BASE/ML
SEVELAMER CARBONATE	800MG/PACKET
SEVELAMER CARBONATE	2.4GM/PACKET
BACAMPICILLIN HYDROCHLORIDE	125MG/5ML
CEFIXIME	100MG/5ML 
CEFIXIME	500MG/5ML
CEFIXIME	100MG/5ML
CEFIXIME	200MG/5ML
OSELTAMIVIR PHOSPHATE	EQ 6MG BASE/ML
OSELTAMIVIR PHOSPHATE	EQ 12MG BASE/ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 125MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
AMPICILLIN/AMPICILLIN TRIHYDRATE	EQ 250MG BASE/5ML
AMOXICILLIN	50MG/ML
AMOXICILLIN	125MG/5ML
AMOXICILLIN	125MG/5ML
AMOXICILLIN	125MG/5ML
AMOXICILLIN	125MG/5ML
AMOXICILLIN	250MG/5ML
AMOXICILLIN	250MG/5ML
AMOXICILLIN	250MG/5ML
AMOXICILLIN	250MG/5ML
CEFADROXIL/CEFADROXIL HEMIHYDRATE	EQ 125MG BASE/5ML
CEFADROXIL/CEFADROXIL HEMIHYDRATE	EQ 250MG BASE/5ML
CEFADROXIL/CEFADROXIL HEMIHYDRATE	EQ 500MG BASE/5ML
AMOXICILLIN	125MG/5ML
AMOXICILLIN	250MG/5ML
PENICILLIN V	125MG/0.6ML
CEFPODOXIME PROXETIL	EQ 50MG BASE/5ML 
CEFPODOXIME PROXETIL	EQ 100MG BASE/5ML 
CEPHRADINE	125MG/5ML
CEPHRADINE	250MG/5ML
HETACILLIN	EQ 112.5MG AMPICIL/ML
HETACILLIN	EQ 112.5MG AMPICIL/5ML
HETACILLIN	EQ 112.5MG AMPICIL/ML
HETACILLIN	EQ 225MG AMPICIL/5ML
VORICONAZOLE	200MG/5ML
DOXYCYCLINE	EQ 25MG BASE/5ML
VORICONAZOLE	200MG/5ML
VORICONAZOLE	200MG/5ML
VORICONAZOLE	200MG/5ML
COLESEVELAM HYDROCHLORIDE	1.875GM/PACKET
COLESEVELAM HYDROCHLORIDE	3.75GM/PACKET
AMOXICILLIN	125MG/5ML
AMOXICILLIN	250MG/5ML
OMEPRAZOLE; SODIUM BICARBONATE	20MG/PACKET;1.68GM/PACKET
OMEPRAZOLE; SODIUM BICARBONATE	40MG/PACKET;1.68GM/PACKET
OMEPRAZOLE; SODIUM BICARBONATE	20MG/PACKET;1.68GM/PACKET
AZITHROMYCIN	EQ 1GM BASE/PACKET
AZITHROMYCIN	EQ 100MG BASE/5ML
AZITHROMYCIN	EQ 200MG BASE/5ML
LINEZOLID	100MG/5ML
NITRIC OXIDE	100PPM 
NITRIC OXIDE	800PPM
KRYPTON, KR-81M	N/A
XENON XE-127	5mCi/VIAL
XENON XE-127	10mCi/VIAL
XENON XE-133	1 CI/AMP
XENON XE-133	10mCi/VIAL
XENON XE-133	20mCi/VIAL
XENON XE-133	5-100 CI/CYLINDER
XENON XE-133	0.25-5 CI/AMP
XENON XE-133	10mCi/VIAL
XENON XE-133	20mCi/VIAL
XENON XE-133	10mCi/VIAL
XENON XE-133	20mCi/VIAL
XENON XE-133	10mCi/VIAL
BETAMETHASONE DIPROPIONATE	EQ 0.05% BASE
BETAMETHASONE DIPROPIONATE	EQ 0.05% BASE
BETAMETHASONE DIPROPIONATE	EQ 0.05% BASE
CYANOCOBALAMIN	0.5MG/INH
TESTOSTERONE	5.5MG/0.122GM ACTUATION
TESTOSTERONE	1.62% 
TESTOSTERONE	12.5MG/1.25GM ACTUATION
ESTRADIOL	0.06% 
ESTRADIOL	0.06% 
TESTOSTERONE	10MG/0.5GM ACTUATION
OXYBUTYNIN	3%
TESTOSTERONE	10MG/0.5GM ACTUATION
TESTOSTERONE	12.5MG/1.25GM ACTUATION
TESTOSTERONE	12.5MG/1.25GM ACTUATION
TESTOSTERONE	1.62% 
TESTOSTERONE	12.5MG/1.25GM ACTUATION
SODIUM MONOFLUOROPHOSPHATE	1.2%
DINOPROSTONE	0.5MG/3GM
LIDOCAINE HYDROCHLORIDE	3.5%
LOTEPREDNOL ETABONATE	0.5%
PILOCARPINE HYDROCHLORIDE	4%
GANCICLOVIR	0.15%
LIDOCAINE; PRILOCAINE	2.5%;2.5%
DIAZEPAM	2.5MG/0.5ML 
DIAZEPAM	5MG/ML  
DIAZEPAM	10MG/2ML  
DIAZEPAM	15MG/3ML  
DIAZEPAM	20MG/4ML  
DIAZEPAM	10MG/2ML 
DIAZEPAM	20MG/4ML 
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	2.5%;EQ 1.2% BASE
DAPSONE	5%
DAPSONE	7.5%
ADAPALENE	0.3%
ADAPALENE	0.1%
ADAPALENE	0.1%
ADAPALENE	0.3%
ADAPALENE	0.3%
ADAPALENE; BENZOYL PEROXIDE	0.1%;2.5%
BENZOYL PEROXIDE; ERYTHROMYCIN	5%;3%
AMINOLEVULINIC ACID HYDROCHLORIDE	10%
TRIAMCINOLONE ACETONIDE	0.1%
TRETINOIN	0.05%
TRETINOIN	0.025%
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	5%;EQ 1% BASE
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	5%;EQ 1% BASE
BENZOYL PEROXIDE; ERYTHROMYCIN	5%;3%
CICLOPIROX	0.77%
CICLOPIROX	0.77%
CICLOPIROX	0.77%
CLINDAMYCIN PHOSPHATE	EQ 1% BASE
CLINDAMYCIN PHOSPHATE	EQ 1% BASE
CLINDAMYCIN PHOSPHATE	EQ 1% BASE
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	2.5%;EQ 1.2% BASE
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	5%;EQ 1% BASE
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	5%;EQ 1% BASE
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	5%;1.2%
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	5%;1.2%
CLINDAMYCIN PHOSPHATE; TRETINOIN	1.2%;0.025%
CLOBETASOL PROPIONATE	0.05%
CLOBETASOL PROPIONATE	0.05%
CLOBETASOL PROPIONATE	0.05%
CLOBETASOL PROPIONATE	0.05%
PODOFILOX	0.5%
DEXAMETHASONE	0.1%
DESONIDE	0.05%
DESOXIMETASONE	0.05%
DESOXIMETASONE	0.05%
DESOXIMETASONE	0.05%
DICLOFENAC SODIUM	3%
DICLOFENAC SODIUM	1%
DICLOFENAC SODIUM	3%
DICLOFENAC SODIUM	3%
DICLOFENAC SODIUM	3%
ADAPALENE	0.1%
ADAPALENE	0.3%
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	5%;1.2%
ERYTHROMYCIN	2%
CLOBETASOL PROPIONATE	0.05%
ERYTHROMYCIN	2%
ADAPALENE; BENZOYL PEROXIDE	0.1%;2.5%
ADAPALENE; BENZOYL PEROXIDE	0.3%;2.5%
ERYTHROMYCIN	2%
ERYTHROMYCIN	2%
ERYTHROMYCIN	2%
BENZOYL PEROXIDE; ERYTHROMYCIN	5%;3%
BENZOYL PEROXIDE; ERYTHROMYCIN	5%;3%
ESTRADIOL	0.06%
AZELAIC ACID	15%
FLUOCINONIDE	0.05%
FLUOCINONIDE	0.05%
FLUOCINONIDE	0.05%
FLUOCINOLONE ACETONIDE	0.025%
TERBINAFINE	1%
TERBINAFINE	1%
FLUOCINONIDE	0.05% 
CICLOPIROX	0.77%
METRONIDAZOLE	0.75%
METRONIDAZOLE	1%
METRONIDAZOLE	0.75%
METRONIDAZOLE	0.75%
METRONIDAZOLE	0.75%
METRONIDAZOLE	1%
METRONIDAZOLE	0.75%
METRONIDAZOLE	1%
BRIMONIDINE TARTRATE	EQ 0.33% BASE
NAFTIFINE HYDROCHLORIDE	1%
NAFTIFINE HYDROCHLORIDE	2%
HYDROCORTISONE	1%
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE	3.75%;EQ 1.2% BASE
ALITRETINOIN	EQ 0.1% BASE
HYDROCORTISONE	1%
INGENOL MEBUTATE	0.015%
INGENOL MEBUTATE	0.05%
TRETINOIN	0.01%
TRETINOIN	0.025%
TRETINOIN	0.04%
TRETINOIN	0.1%
TRETINOIN	0.08%
DICLOFENAC SODIUM	3%
BEXAROTENE	1%
TAZAROTENE	0.05%
TAZAROTENE	0.1%
CLOBETASOL PROPIONATE	0.05% 
DESOXIMETASONE	0.05%
DESOXIMETASONE	0.05% 
TRETINOIN	0.01%
TRETINOIN	0.025%
TRETINOIN	0.04%
TRETINOIN	0.05%
TRETINOIN	0.1%
BETAMETHASONE BENZOATE	0.025%
MECHLORETHAMINE HYDROCHLORIDE	EQ 0.016% BASE
CLINDAMYCIN PHOSPHATE; TRETINOIN	1.2%;0.025%
DICLOFENAC SODIUM	1%
KETOCONAZOLE	2%
CLINDAMYCIN PHOSPHATE; TRETINOIN	1.2%;0.025%
TESTOSTERONE	1.62% 
TESTOSTERONE	1.62% 
TESTOSTERONE	25MG/2.5GM PACKET
TESTOSTERONE	50MG/5GM PACKET
ESTRADIOL	0.1% 
ESTRADIOL	0.1% 
ESTRADIOL	0.1% 
OXYBUTYNIN CHLORIDE	10%
TESTOSTERONE	50MG/5GM PACKET
TESTOSTERONE	25MG/2.5GM PACKET
TESTOSTERONE	50MG/5GM PACKET
TESTOSTERONE	25MG/2.5GM PACKET
TESTOSTERONE	50MG/5GM PACKET
TESTOSTERONE	25MG/2.5GM PACKET
TESTOSTERONE	50MG/5GM PACKET
TESTOSTERONE	25MG/2.5GM PACKET
TESTOSTERONE	50MG/5GM PACKET
TESTOSTERONE	50MG/5GM PACKET
PROGESTERONE	4%
PROGESTERONE	8%
METRONIDAZOLE	0.75%
METRONIDAZOLE	0.75%
METRONIDAZOLE	1.3%
METRONIDAZOLE	0.75%
AMINOSALICYLIC ACID	4GM/PACKET
SODIUM BICARBONATE; TARTARIC ACID	460MG/GM;420MG/GM
RANITIDINE HYDROCHLORIDE	EQ 150MG BASE/PACKET
COLESTIPOL HYDROCHLORIDE	5GM/SCOOPFUL
COLESTIPOL HYDROCHLORIDE	5GM/PACKET
COLESTIPOL HYDROCHLORIDE	5GM/SCOOPFUL
COLESTIPOL HYDROCHLORIDE	5GM/PACKET
ERYTHROMYCIN ETHYLSUCCINATE	EQ 200MG BASE/5ML
ERYTHROMYCIN ETHYLSUCCINATE	EQ 200MG BASE/5ML
ERYTHROMYCIN ETHYLSUCCINATE	EQ 400MG BASE/5ML
ERYTHROMYCIN ETHYLSUCCINATE	EQ 200MG BASE/5ML
ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL	EQ 200MG BASE/5ML;EQ 600MG BASE/5ML
ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL	EQ 200MG BASE/5ML;EQ 600MG BASE/5ML
COLESTIPOL HYDROCHLORIDE	5GM/PACKET
COLESTIPOL HYDROCHLORIDE	5GM/SCOOPFUL
DEFERASIROX	90MG
DEFERASIROX	180MG
DEFERASIROX	360MG
IVACAFTOR	50MG/PACKET
IVACAFTOR	75MG/PACKET
TERBINAFINE HYDROCHLORIDE	EQ 125MG BASE/PACKET
TERBINAFINE HYDROCHLORIDE	EQ 187.5MG BASE/PACKET
MONTELUKAST SODIUM	EQ 4MG BASE/PACKET
MONTELUKAST SODIUM	EQ 4MG BASE/PACKET
MONTELUKAST SODIUM	EQ 4MG BASE/PACKET
MONTELUKAST SODIUM	EQ 4MG BASE/PACKET
IPODATE CALCIUM	3GM/PACKET
ERYTHROMYCIN ETHYLSUCCINATE	EQ 200MG BASE/5ML
ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL	EQ 200MG BASE/5ML;EQ 600MG BASE/5ML
MONTELUKAST SODIUM	EQ 4MG BASE/PACKET
URIDINE TRIACETATE	10GM/PACKET
URIDINE TRIACETATE	2GM/PACKET
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 2MG BASE
NICOTINE POLACRILEX	EQ 4MG BASE
ETONOGESTREL	68MG/IMPLANT
LEVONORGESTREL	75MG/IMPLANT 
LEVONORGESTREL	75MG/IMPLANT
ETONOGESTREL	68MG/IMPLANT
LEVONORGESTREL	36MG/IMPLANT
LEVONORGESTREL	36MG/IMPLANT
BUPRENORPHINE HYDROCHLORIDE	EQ 80MG BASE/IMPLANT
LEUPROLIDE ACETATE	EQ 65MG BASE
GANCICLOVIR	4.5MG
GOSERELIN ACETATE	EQ 3.6MG BASE
GOSERELIN ACETATE	EQ 10.8MG BASE
CARMUSTINE	7.7MG
FLUOCINOLONE ACETONIDE	0.19MG
DEXAMETHASONE	0.7MG
FLUOCINOLONE ACETONIDE	0.59MG
HISTRELIN ACETATE	50MG
HISTRELIN ACETATE	50MG
NICOTINE	4MG/CARTRIDGE
AMPHOTERICIN B	5MG/ML
AMPHOTERICIN B	50MG/VIAL
AMPHOTERICIN B	100MG/VIAL
MORPHINE SULFATE	10MG/ML 
MORPHINE SULFATE	15MG/1.5ML 
MORPHINE SULFATE	20MG/2ML 
AMPHOTERICIN B	50MG/VIAL
DAUNORUBICIN CITRATE	EQ 2MG BASE/ML
CYTARABINE	10MG/ML
DOXORUBICIN HYDROCHLORIDE	20MG/10ML 
DOXORUBICIN HYDROCHLORIDE	50MG/25ML 
DOXORUBICIN HYDROCHLORIDE	20MG/10ML 
DOXORUBICIN HYDROCHLORIDE	50MG/25ML 
DOXORUBICIN HYDROCHLORIDE	20MG/10ML 
DOXORUBICIN HYDROCHLORIDE	50MG/25ML 
BUPIVACAINE	133MG/10ML 
BUPIVACAINE	266MG/20ML 
VINCRISTINE SULFATE	5MG/5ML 
IRINOTECAN HYDROCHLORIDE	EQ 43MG BASE/10ML 
CIPROFLOXACIN	6% 
LEUPROLIDE ACETATE; NORETHINDRONE ACETATE	3.75MG/VIAL,N/A;N/A,5MG
LEUPROLIDE ACETATE; NORETHINDRONE ACETATE	11.25MG/VIAL,N/A;N/A,5MG
HYDROCORTISONE SODIUM SUCCINATE	EQ 1GM BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 100MG BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 100MG BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 250MG BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 500MG BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 1GM BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 100MG BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 100MG BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 250MG BASE/VIAL
HYDROCORTISONE SODIUM SUCCINATE	EQ 500MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 1GM BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 40MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 125MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 500MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 1GM BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 1GM BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 40MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 40MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 125MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 125MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 500MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 500MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 40MG BASE/VIAL
METHYLPREDNISOLONE SODIUM SUCCINATE	EQ 125MG BASE/VIAL
TECHNETIUM TC-99M ALBUMIN AGGREGATED KIT	N/A
GONADOTROPIN, CHORIONIC	5000 UNITS/VIAL
GONADOTROPIN, CHORIONIC	10000 UNITS/VIAL
GONADOTROPIN, CHORIONIC	20000 UNITS/VIAL
METHOTREXATE SODIUM	EQ 25MG BASE/ML
METHOTREXATE SODIUM	EQ 50MG BASE/VIAL
METHOTREXATE SODIUM	EQ 100MG BASE/VIAL
METHOTREXATE SODIUM	EQ 250MG BASE/VIAL
SOMATROPIN RECOMBINANT	5MG/ML 
CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE	20MG/100ML;30MG/100ML;380MG/100ML;600MG/100ML
ACETAZOLAMIDE SODIUM	EQ 500MG BASE/VIAL
ACETAZOLAMIDE SODIUM	EQ 500MG BASE/VIAL
ACETAZOLAMIDE SODIUM	EQ 500MG BASE/VIAL
ACETAZOLAMIDE SODIUM	EQ 500MG BASE/VIAL
ACETAZOLAMIDE SODIUM	EQ 500MG BASE/VIAL
PROCAINE HYDROCHLORIDE; TETRACYCLINE HYDROCHLORIDE	40MG/VIAL;100MG/VIAL
PROCAINE HYDROCHLORIDE; TETRACYCLINE HYDROCHLORIDE	40MG/VIAL;250MG/VIAL
TETRACYCLINE HYDROCHLORIDE	250MG/VIAL
TETRACYCLINE HYDROCHLORIDE	500MG/VIAL
CORTICOTROPIN	25 UNITS/VIAL
CORTICOTROPIN	40 UNITS/VIAL
CORTICOTROPIN	25 UNITS/VIAL
CORTICOTROPIN	40 UNITS/VIAL
CORTICORELIN OVINE TRIFLUTATE	EQ 0.1MG BASE/VIAL
TECHNETIUM TC-99M APCITIDE	N/A
ACYCLOVIR SODIUM	EQ 50MG BASE/ML
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 50MG BASE/ML
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 50MG BASE/ML
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 25MG BASE/ML
ACYCLOVIR SODIUM	EQ 50MG BASE/ML
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 50MG BASE/ML
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
ACYCLOVIR SODIUM	EQ 1GM BASE/VIAL
ACYCLOVIR SODIUM	EQ 500MG BASE/VIAL
PEGADEMASE BOVINE	250 UNITS/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
ADENOSINE	3MG/ML
DOXORUBICIN HYDROCHLORIDE	2MG/ML
DOXORUBICIN HYDROCHLORIDE	200MG/100ML
FLUOROURACIL	50MG/ML
FLUOROURACIL	50MG/ML
FLUOROURACIL	50MG/ML
FLUOROURACIL	50MG/ML
POLYMYXIN B SULFATE	EQ 500000 U BASE/VIAL
TIROFIBAN HYDROCHLORIDE	EQ 5MG BASE/100ML 
TIROFIBAN HYDROCHLORIDE	EQ 12.5MG BASE/50ML 
TIROFIBAN HYDROCHLORIDE	EQ 12.5MG BASE/250ML 
TIROFIBAN HYDROCHLORIDE	EQ 25MG BASE/500ML 
BIPERIDEN LACTATE	5MG/ML
ALCOHOL; DEXTROSE	10ML/100ML;5GM/100ML
ALCOHOL; DEXTROSE	5ML/100ML;5GM/100ML
ALCOHOL; DEXTROSE	5ML/100ML;5GM/100ML
ALCOHOL	5ML/100ML
ALCOHOL; DEXTROSE	5ML/100ML;5GM/100ML
METHYLDOPATE HYDROCHLORIDE	50MG/ML 
ALFENTANIL HYDROCHLORIDE	EQ 0.5MG BASE/ML
ALFENTANIL HYDROCHLORIDE	EQ 0.5MG BASE/ML
MELPHALAN HYDROCHLORIDE	EQ 50MG BASE/VIAL
ALLOPURINOL SODIUM	EQ 500MG BASE/VIAL
ALLOPURINOL SODIUM	EQ 500MG BASE/VIAL
LIDOCAINE HYDROCHLORIDE	2%
EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	0.01MG/ML;2%
EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	0.02MG/ML;2%
HYDROXOCOBALAMIN	1MG/ML
ALPROSTADIL	0.5MG/ML
ALPROSTADIL	0.5MG/ML
TECHNETIUM TC-99M MEDRONATE KIT	N/A
AMINOCAPROIC ACID	250MG/ML 
ETOMIDATE	2MG/ML
AMIFOSTINE	500MG/VIAL
AMIKACIN SULFATE	EQ 250MG BASE/ML
AMIKACIN SULFATE	EQ 250MG BASE/ML
AMIKACIN SULFATE	EQ 250MG BASE/ML
AMIKACIN SULFATE	EQ 50MG BASE/ML
AMIKACIN SULFATE	EQ 250MG BASE/ML
AMIKACIN SULFATE	EQ 50MG BASE/ML
AMIKACIN SULFATE	EQ 50MG BASE/ML
AMIKACIN SULFATE	EQ 62.5MG BASE/ML
AMIKACIN SULFATE	EQ 250MG BASE/ML
AMIKACIN SULFATE	EQ 250MG BASE/ML
